name;price;shipping
Full Hd 1080p Webcam Microfone Visão 360º Computador Câmera;99.0;Free
Pc Computador Cpu Intel Core I5 + Ssd 120gb, 8gb Memória Ram;1590.0;Free
Computador Fácil Dual Core 2.70ghz 4gb Ssd120 Ponto De Venda;1039.0;Free
Cpu Pc I5 6° Geração, 8gb, Ssd 240gb Gabinete Atx Fonte C/nf;2150.0;Free
Suporte Para Cpu Computador Ajustavel Rodizios;3080.0;Paid
Computador I3-540 / 3.06 Ghz / 8gb / 500gb / Dvd;1234.0;Free
Cpu Pc Gamer Intel Core I5 3.8ghz 8gb Ssd240gb Fonte 500wts;1899.0;Free
Cpu Gamer Amd A10 4.2ghz, 8gb, 8 Núcleos! Promoção!!;2198.0;Free
Mini Caixa Caixinha Som Usb P2 Pc Computador Notebook;3990.0;Paid
Pc Cpu I7 4770 4ª Geração 3.4ghz, 16gb Ram Ssd 480gb +f.500w;3000.0;Free
Computador Intel Core I5 3.2ghz 8gb Ram Hd 500gb Monitor 17 ;2030.0;Free
Caixa De Som Caixinha Portátil Usb P2 Pc Notebook Celular Tv;3499.0;Paid
Pc Computador Cpu I5 / Hd 1tb + Ssd 240gb / 8gb Memória Ram;2000.0;Free
 Cpu Pc  Torre Core I5 3.20ghz 8gb Sem Hd Ou Ssd;1449.0;Free
Mouse Pad Emborrachado P/ Jogos Pc E Note ;1290.0;Paid
Cpu I5, 16gb, Ssd 480gb, Placa De Vídeo 2gb;2360.0;Free
Adaptador Receptor Wireless Usb Wifi 1200mbps Pc E Note;3290.0;Paid
Pc Gamer Fácil Intel I5 10400f 16gb Gtx 1650 Ddr6 Hd 1 Tb;7209.0;Free
Headset gamer Knup KP-488 preto e azul;121.0;Free
Pc Gamer Cpu Computador I5 16gb, Ssd 120gb, Placa Vídeo 2gb;2235.0;Free
Computador I3-540 / 3.06 Ghz / 8gb / 500gb / Dvd;1234.0;Free
Disco sólido interno Crucial CT480BX500SSD1 480GB preto;37550.0;Free
Computador Pc Completo Intel 8gb Hd 500gb  Wifi Win10 C/ Monitor;2149.0;Free
 Cpu Pc  Torre Core I5 3.20ghz 16gb Ssd 240gb Wi-fi;2099.0;Free
Headset gamer Razer Kraken X Lite black;429.0;Free
Pc Gamer I5+8gb+1tb+gt710 2gb Roda Gta 5 Fortnite Fifa Csgo;2480.0;Free
Pc Gamer Completo Amd, Monitor, Jogos, Trabalhos + Nota Fisc;3199.0;Free
Mini Cpu Para Pdv Elgin Nano Ssd 120gb 4gb 6usb 2 Seriais;1219.0;Free
Fonte de alimentação para PC Knup Cowboy KP-533 450W 110V/230V;14890.0;Free
Cpu Pc Torre I3 4 Gb Hd 500 Gb;1259.0;Free
Pc Gamer Completo I5 8gb Ssd Monitor + Kit Gamer Full Hd;3890.0;Free
Pc Computador Cpu Intel Core I5 Ssd 240gb / 8gb Memória Ram;1483.0;Free
Headset gamer Knup KP-397 preto e azul;9383.0;Free
Pc Gamer Completo Amd A8 8gb Ssd 240gb Placa De Video R7;3499.0;Free
Cpu Pc Gamer Intel Core I5 3.8ghz 8gb Ssd240gb Fonte 500wts;1899.0;Free
No break JBR Guard 600 600VA entrada e saída de 120V preto;36780.0;Free
Computador Fácil Intel Core I3 4gb Ddr3 Ssd 240gb;1309.0;Free
Pc Gamer Barato Completo Intel I5 16gb Ssd 240gb Monitor 21 ;3579.0;Free
Pc Computador Cpu I5 Ssd 240gb, 16gb Memória Ram, Fonte 500w;2150.0;Free
Mouse Logitech  M90 preto;3490.0;Paid
Computador Fácil Slim Intel Core I5 3.20 Ghz 8gb Ssd 240gb;1879.0;Free
Computador Gamer I7 8gb 1tb Gtx 1050 Ti 4gb Ddr5 Win 10 Hdmi;4499.0;Free
Webcam 1080p Full Hd  Câmera Computador Microfone P/envio ;7799.0;Paid
Pc Gamer Fácil Asus Intel I5 10400f 16gb Gtx 1650 Ssd 480gb;7499.0;Free
Computador Pc Completo I3 4°ger 8gb Ssd 240gb;2990.0;Free
Pc Gamer Completo Fácil Intel I5 8gb Ssd 240gb Geforce 2gb;3399.0;Free
Fonte de alimentação para PC Fortrek PWS-2003 200W prata 115V/230V;7899.0;Paid
Computador Gamer Ryzen 5 16gb Ddr4 Ssd 240gb Rx Vega 11 ;4089.0;Free
Computador Desktop Lenovo Thinkcentre M920s Sff I7-8700 16gb;3999.0;Free
Cpu Mini Dell 3060m I7 8700t 32gb Ddr4 Ssd 480gb Win 10 Pro;5999.0;Free
Mouse sem fio Logitech  M190 cinza-carvão;63.0;Free
Pc Gamer Led Rgb Amd Ryzen 4ghz 16gb Ssd Roda Games Atuais;3980.0;Free
Cpu Gamer I5, 16gb, Sdd 240gb, Placa De Vídeo Gtx750ti  ;2805.0;Free
Memória RAM ValueRAM color Verde  4GB 1 Kingston KVR13N9S8/4;120.0;Free
Pc Gamer Cpu Computador I5 8gb, Hd 500gb, Placa Vídeo 2gb;1979.0;Free
